Prediction|Actual|Result
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
G1|G2|FAILED
