Prediction|Actual|Result
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G1|G1|SUCCESS
G1|G1|SUCCESS
G1|G1|SUCCESS
G2|G1|FAILED
G2|G1|FAILED
G1|G1|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
G1|G2|FAILED
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G2|G2|SUCCESS
G1|G2|FAILED
